"","x"
"380","GrandPrntsCaring"
"381","pctGrandPrntsCaring"
"382","GrandPrntsCaringLT1"
"383","pctGrandPrntsCaringLT1"
"384","GrandPrntsCaring1or2"
"385","pctGrandPrntsCaring1or2"
"386","GrandPrntsCaring3or4"
"387","pctGrandPrntsCaring3or4"
"388","GrandPrntsCaring5orMore"
"389","pctGrandPrntsCaring5orMore"
"390","Over3"
"391","EnrolledOver3"
"392","pctEnrolledOver3"
"393","InNursery"
"394","pctInNursery"
"395","InKindergarten"
"396","pctInKindergarten"
"397","InElementary"
"398","pctInElementary"
"399","InHighSchool"
"400","pctInHighSchool"
"401","InCollege"
"402","pctInCollege"
"403","LessThan9th"
"404","pctLessThan9th"
"405","SomeHighSchool"
"406","pctSomeHighSchool"
"407","HighSchool"
"408","pctHighSchool"
"409","SomeCollege"
"410","pctSomeCollege"
"411","Associates"
"412","pctAssociates"
"413","Bachelors"
"414","pctBachelors"
"415","GradProf"
"416","pctGradProf"
"417","HighSchoolOrMore"
"418","pctHighSchoolOrMore"
"419","Bachelorsormore"
"420","pctBachelorsormore"
"421","ArmedForces"
"422","pctArmedForces"
"423","Civilian"
"424","pctCivilian"
"425","Veteran"
"426","pctVeteran"
"427","Over1"
"428","SameHouse"
"429","pctSameHouse"
"430","DiffHouse"
"431","pctDiffHouse"
"432","DiffHouseSameCounty"
"433","pctDiffHouseSameCounty"
"434","DiffCounty"
"435","pctDiffCounty"
"436","DiffCntySameState"
"437","pctDiffCntySameState"
"438","DiffState"
"439","pctDiffState"
"440","LivedAbroad"
"441","pctLivedAbroad"
"442","USNative"
"443","pctUSNative"
"444","BornInUS"
"445","pctBornInUS"
"446","BornInCurrState"
"447","pctBornInCurrState"
"448","BornInDiffState"
"449","pctBornInDiffState"
"450","BornAbroad"
"451","pctBornAbroad"
"452","ForeignBorn"
"453","pctForeignBorn"
"454","Naturalized"
"455","pctNaturalized"
"456","NonCitizen"
"457","pctNonCitizen"
"458","BornOutsideUS"
"459","pctBornOutsideUS"
"460","BornOutsideUSNative"
"461","pctBornOutsideUSNative"
"462","NativeEnteredGE2000"
"463","pctNativeEnteredGE2000"
"464","NativeEnteredLT2000"
"465","pctNativeEnteredLT2000"
"466","FBEnteredGE2000"
"467","pctFBEnteredGE2000"
"468","FBEnteredLT2000"
"469","pctFBEnteredLT2000"
"470","FBMinusSea"
"471","pctFBMinusSea"
"472","FBEurope"
"473","pctFBEurope"
"474","FBAsia"
"475","pctFBAsia"
"476","FBAfrica"
"477","pctFBAfrica"
"478","FBOceania"
"479","pctFBOceania"
"480","FBLatinAmerica"
"481","pctFBLatinAmerica"
"482","FBNorthAmerica"
"483","pctFBNorthAmerica"
"484","EnglishOnly"
"485","pctEnglishOnly"
"486","OthLang"
"487","pctOthLang"
"488","OthLangEnglishLTD"
"489","pctOthLangEnglishLTD"
"490","Spanish"
"491","pctSpanish"
"492","SpanishEnglishLTD"
"493","pctSpanishEnglishLTD"
"494","TotHUs"
"495","OccHUs"
"496","pctOccHUs"
"497","OwnerOcc"
"498","pctOwnerOcc"
"499","RenterOcc"
"500","pctRenterOcc"
"501","AvgOwnerHHSize"
"502","AvgRenterHHSize"
"503","VacHUs"
"504","pctVacHUs"
"505","VacantForSale"
"506","pctVacantForSale"
"507","VacantForRent"
"508","pctVacantForRent"
"509","VacantSeasonal"
"510","pctVacantSeasonal"
"511","TotalOwnerUnits"
"512","OwnerVacRate"
"513","TotalRentalUnits"
"514","RenterVacRate"
"515","PersonsInOwnerUnits"
"516","pctPersonsInOwnerUnits"
"517","PersonsInRenterUnits"
"518","pctPersonsInRenterUnits"
"519","Units1"
"520","pctUnits1"
"521","Units1Detached"
"522","pctUnits1Detached"
"523","Units1Attached"
"524","pctUnits1Attached"
"525","Units2"
"526","pctUnits2"
"527","Units3_4"
"528","pctUnits3_4"
"529","Units5_9"
"530","pctUnits5_9"
"531","Units10_19"
"532","pctUnits10_19"
"533","Units20up"
"534","pctUnits20up"
"535","MobileHomes"
"536","pctMobileHomes"
"537","BoatRV"
"538","pctBoatRV"
"539","MobileHomesPerK"
"540","Built2005orLater"
"541","pctBuilt2005orLater"
"542","Built2000_2004"
"543","pctBuilt2000_2004"
"544","Built1990_1999"
"545","pctBuilt1990_1999"
"546","Built1980_1989"
"547","pctBuilt1980_1989"
"548","Built1970_1979"
"549","pctBuilt1970_1979"
"550","Built1960_1969"
"551","pctBuilt1960_1969"
"552","Built1950_1959"
"553","pctBuilt1950_1959"
"554","Built1940_1949"
"555","pctBuilt1940_1949"
"556","BuiltBefore1940"
"557","pctBuiltBefore1940"
"558","MovedIn2005orLater"
"559","pctMovedIn2005orLater"
"560","MovedIn2000_2004"
"561","pctMovedIn2000_2004"
"562","MovedIn1990_1999"
"563","pctMovedIn1990_1999"
"564","MovedIn1980_1989"
"565","pctMovedIn1980_1989"
"566","MovedIn1970_1979"
"567","pctMovedIn1970_1979"
"568","MovedInBefore1969"
"569","pctMovedInBefore1969"
"570","NoVehicles"
"571","pctNoVehicles"
"572","Vehicles1"
"573","pctVehicles1"
"574","Vehicles2"
"575","pctVehicles2"
"576","VehiclesGE3"
"577","pctVehiclesGE3"
"578","HHFUtilGas"
"579","pctHHFUtilGas"
"580","HHFLPGas"
"581","pctHHFLPGas"
"582","HHFElectric"
"583","pctHHFElectric"
"584","HHFKerosene"
"585","pctHHFKerosene"
"586","HHFCoal"
"587","pctHHFCoal"
"588","HHFWood"
"589","pctHHFWood"
"590","HHFSolar"
"591","pctHHFSolar"
"592","HHFOther"
"593","pctHHFOther"
"594","HHFNoFuel"
"595","pctHHFNoFuel"
"596","NoPlumbing"
"597","pctNoPlumbing"
"598","NoKitchen"
"599","pctNoKitchen"
"600","NoPhone"
"601","pctNoPhone"
"602","PersonsPerRoomLow"
"603","pctPersonsPerRoomLow"
"604","PersonsPerRoomMedium"
"605","pctPersonsPerRoomMedium"
"606","PersonsPerRoomHigh"
"607","pctPersonsPerRoomHigh"
"608","HvalUnder50"
"609","pctHvalUnder50"
"610","Hval50"
"611","pctHval50"
"612","Hval100"
"613","pctHval100"
"614","Hval150"
"615","pctHval150"
"616","Hval200"
"617","pctHval200"
"618","Hval300"
"619","pctHval300"
"620","Hval500"
"621","pctHval500"
"622","HvalOverMillion"
"623","pctHvalOverMillion"
"624","MedianHValue"
"625","AvgHValue"
"626","HUsMort"
"627","pctHUsMort"
"628","HUsMortOver30Pct"
"629","pctHUsMortOver30Pct"
"630","MedianOwnerCostsMort"
"631","HUsNoMort"
"632","pctHUsNoMort"
"633","HUsNoMortOver30Pct"
"634","pctHUsNoMortOver30Pct"
"635","MedianOwnerCostsNoMort"
"636","CashRenter"
"637","pctCashRenter"
"638","NoCashRenter"
"639","pctNoCashRenter"
"640","MedianGrossRent"
"641","AvgGrossRent"
"642","CashRenterOver30Pct"
"643","pctCashRenterOver30Pct"
"644","CashRenterOver750"
"645","pctCashRenterOver750"
